time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,19.6,12.0,25.0,,,,10.7,,1017.0,
2019-01-02,20.9,15.7,26.0,,,,11.5,,1016.7,
2019-01-03,21.0,15.5,27.0,,,,13.5,,1016.5,
2019-01-04,18.7,15.4,23.0,7.1,,,11.5,,1017.3,
2019-01-05,19.3,15.7,24.0,0.0,,,17.9,,1016.8,
2019-01-06,20.3,15.5,25.2,,,,11.3,,1015.0,
2019-01-07,21.3,15.0,27.0,,,,14.9,,1014.2,
2019-01-08,19.4,14.6,25.2,,,,14.6,,1014.7,
2019-01-09,21.4,15.5,27.0,,,,16.9,,1014.6,
2019-01-10,21.0,17.0,26.0,,,,14.4,,1014.6,
2019-01-11,21.7,18.0,27.0,,,,18.9,,1014.6,
2019-01-12,20.9,17.0,25.0,,,,15.0,,1014.5,
2019-01-13,20.7,13.2,25.0,,,,14.1,,1014.8,
2019-01-14,21.2,16.0,25.6,,,,13.3,,1015.1,
2019-01-15,21.4,18.0,26.0,,,,16.8,,1015.6,
2019-01-16,21.1,16.6,28.0,,,,11.3,,1015.8,
2019-01-17,22.0,13.5,28.0,,,,12.4,,1014.4,
2019-01-18,22.2,15.2,27.0,,,,11.3,,1014.0,
2019-01-19,22.1,14.4,28.0,,,,13.3,,1014.4,
2019-01-20,22.6,16.0,28.7,,,,12.9,,1015.0,
2019-01-21,22.1,13.9,28.0,0.0,,,7.2,,1015.6,
2019-01-22,21.4,16.0,27.0,0.0,,,13.2,,1014.7,
2019-01-23,21.6,15.7,27.5,,,,13.8,,1014.5,
2019-01-24,21.2,15.2,28.2,,,,18.0,,1015.4,
2019-01-25,21.9,12.5,29.2,,,,17.5,,1015.4,
2019-01-26,21.9,16.6,28.0,,,,13.5,,1015.8,
2019-01-27,21.6,15.0,28.1,,,,14.6,,1015.4,
2019-01-28,21.3,17.6,27.0,,,,17.0,,1015.5,
2019-01-29,21.1,14.7,28.0,,,,10.6,,1015.4,
2019-01-30,21.9,15.0,29.0,,,,13.7,,1015.3,
2019-01-31,22.6,16.1,29.0,,,,20.5,,1015.0,
2019-02-01,22.6,15.5,29.0,,,,16.7,,1015.4,
2019-02-02,22.2,11.6,29.0,,,,17.0,,1014.1,
2019-02-03,22.3,14.0,29.2,,,,13.9,,1014.0,
2019-02-04,22.6,16.0,29.0,,,,19.9,,1014.1,
2019-02-05,21.1,15.0,27.5,,,,21.2,,1015.5,
2019-02-06,19.9,12.5,27.5,,,,18.4,,1015.2,
2019-02-07,20.7,12.9,27.7,,,,15.5,,1015.1,
2019-02-08,21.6,17.0,27.0,,,,18.0,,1014.4,
2019-02-09,21.7,16.4,27.2,,,,20.9,,1014.0,
2019-02-10,20.9,17.0,26.0,,,,23.1,,1014.8,
2019-02-11,19.9,14.4,29.0,,,,18.5,,1014.9,
2019-02-12,19.6,11.4,26.5,,,,18.3,,1014.4,
2019-02-13,19.6,13.5,25.4,,,,20.2,,1016.0,
2019-02-14,20.0,14.0,28.0,,,,17.1,,1016.9,
2019-02-15,22.5,15.3,28.0,,,,16.3,,1016.7,
2019-02-16,21.1,17.3,26.6,,,,17.2,,1016.9,
2019-02-17,21.1,17.9,26.6,2.0,,,17.1,,1015.7,
2019-02-18,22.3,17.0,30.7,0.0,,,11.8,,1013.3,
